learning_rate,patch_size,test_accuracy,inference_time_ms,status
1e-6,4,0.5162,NA,success
1e-6,7,0.6670,NA,success
1e-6,14,NA,NA,failed_error
1e-7,4,0.1796,NA,success
1e-7,7,0.2732,NA,success
